INFO     | mine_raw_batch | 2025-09: 180 untried candidates from https://web.archive.org/web/20250907074103/https://www.zara.com/us/en/woman-oute
INFO     | mine_raw_batch | 2025-09: 177 untried candidates from https://web.archive.org/web/20250907134248/https://www.zara.com/us/en/woman-oute
INFO     | mine_raw_batch | 2025-09: 175 untried candidates from https://web.archive.org/web/20250907172805/https://www.zara.com/us/en/woman-oute
INFO     | mine_raw_batch | 2025-09: 170 untried candidates from https://web.archive.org/web/20250908010241/https://www.zara.com/us/en/woman-oute
INFO     | mine_raw_batch | 2025-09: 169 untried candidates from https://web.archive.org/web/20250908024308/https://www.zara.com/us/en/woman-oute
INFO     | mine_raw_batch | 2025-09: 188 untried candidates from https://web.archive.org/web/20250908153615/https://www.zara.com/us/en/woman-oute
INFO     | mine_raw_batch | 2025-09: 181 untried candidates from https://web.archive.org/web/20250909033403/https://www.zara.com/us/en/woman-oute
INFO     | mine_raw_batch | 2025-09: 189 untried candidates from https://web.archive.org/web/20250909080932/https://www.zara.com/us/en/woman-oute
INFO     | mine_raw_batch | 2025-09: 185 untried candidates from https://web.archive.org/web/20250909225325/https://www.zara.com/us/en/woman-oute
INFO     | mine_raw_batch | 2025-09: raw batch complete, +31 records
INFO     | build_month_to_target | 2025-09: +31 raw, +17 clean, 15 removed during cleaning
INFO     | build_month_to_target | 2025-09: clean=41/60 gap=19 keep_rate=0.56 -> raw_batch=35
INFO     | mine_raw_batch | 2025-09: requesting 35 raw records
WARNING  | get_month_snapshots | CDX 202509 attempt 1: HTTPSConnectionPool(host='web.archive.org', port=443): Max retries exceeded with url: /cdx/search/cdx?url=https%3A%2F%2Fwww.zara.com%2Fus%2Fen%2Fwoman-new-in-l1180.html&from=20250901&to=20250930&output=json&fl=timestamp%2Coriginal%2Cstatuscode%2Cmimetype&filter=statuscode%3A200&collapse=digest&limit=100 (Caused by NameResolutionError("HTTPSConnection(host='web.archive.org', port=443): Failed to resolve 'web.archive.org' ([Errno 8] nodename nor servname provided, or not known)"))
INFO     | mine_raw_batch | 2025-09: 7 snapshots for https://www.zara.com/us/en/woman-new-in-l1180.html
INFO     | mine_raw_batch | 2025-09: 0 untried candidates from https://web.archive.org/web/20250907075224/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-09: 0 untried candidates from https://web.archive.org/web/20250909043857/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-09: 0 untried candidates from https://web.archive.org/web/20250909224513/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-09: 0 untried candidates from https://web.archive.org/web/20250911052136/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-09: 0 untried candidates from https://web.archive.org/web/20250911214504/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-09: 0 untried candidates from https://web.archive.org/web/20250915121051/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-09: 0 untried candidates from https://web.archive.org/web/20250915215659/https://www.zara.com/us/en/woman-new-
INFO     | mine_raw_batch | 2025-09: 25 snapshots for https://www.zara.com/us/en/woman-dresses-l1066.html
INFO     | mine_raw_batch | 2025-09: 187 untried candidates from https://web.archive.org/web/20250905130220/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-09: 187 untried candidates from https://web.archive.org/web/20250905183444/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-09: 184 untried candidates from https://web.archive.org/web/20250907071546/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-09: 188 untried candidates from https://web.archive.org/web/20250907231240/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-09: 182 untried candidates from https://web.archive.org/web/20250908034151/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-09: 190 untried candidates from https://web.archive.org/web/20250909004914/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-09: 190 untried candidates from https://web.archive.org/web/20250909042718/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-09: 197 untried candidates from https://web.archive.org/web/20250909165139/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-09: 197 untried candidates from https://web.archive.org/web/20250909230025/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-09: 175 untried candidates from https://web.archive.org/web/20250910212903/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-09: 209 untried candidates from https://web.archive.org/web/20250911030227/https://www.zara.com/us/en/woman-dres
INFO     | mine_raw_batch | 2025-09: raw batch complete, +35 records
INFO     | build_month_to_target | 2025-09: +35 raw, +29 clean, 14 removed during cleaning
INFO     | build_month_to_target | 2025-09: target achieved (70/60 clean)
INFO     | run | [21/25] Processing 202510...
INFO     | build_month_to_target | 2025-10: clean=0/60 gap=60 keep_rate=0.50 -> raw_batch=120
INFO     | mine_raw_batch | 2025-10: requesting 120 raw records
WARNING  | get_month_snapshots | CDX 202510 attempt 1: HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=20)
INFO     | mine_raw_batch | 2025-10: 1 snapshots for https://www.zara.com/us/en/woman-dresses-l1066.html
INFO     | mine_raw_batch | 2025-10: 199 untried candidates from https://web.archive.org/web/20251011014457/https://www.zara.com/us/en/woman-dres
Traceback (most recent call last):
  File "<string>", line 5, in <module>
    results = miner.run()
  File "/Users/esosaimafidon/Documents/GitHub/how-fast-is-fashion/src/fashion_forensics/mining/miner.py", line 771, in run
    self.build_month_to_target(m)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~^^^
  File "/Users/esosaimafidon/Documents/GitHub/how-fast-is-fashion/src/fashion_forensics/mining/miner.py", line 725, in build_month_to_target
    raw_added = self.mine_raw_batch(month_str, raw_batch_target)
  File "/Users/esosaimafidon/Documents/GitHub/how-fast-is-fashion/src/fashion_forensics/mining/miner.py", line 693, in mine_raw_batch
    state.save()
    ~~~~~~~~~~^^
  File "/Users/esosaimafidon/Documents/GitHub/how-fast-is-fashion/src/fashion_forensics/mining/miner.py", line 136, in save
    self.path.write_text(json.dumps(data, indent=2))
    ~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/opt/homebrew/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/pathlib/__init__.py", line 814, in write_text
    with self.open(mode='w', encoding=encoding, errors=errors, newline=newline) as f:
         ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/opt/homebrew/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/pathlib/__init__.py", line 776, in open
    return io.open(self, mode, buffering, encoding, errors, newline)
           ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
OSError: [Errno 28] No space left on device: '/Users/esosaimafidon/Documents/GitHub/how-fast-is-fashion/data/01_data_audit/state/2025-10_state.json'
